Institution,Titre_du_poste,Domaine,Date
PADF/HAITI,Spécialiste en Environnement,Sciences de l’Ingénieur,22 Fév 18
"Acceso Peanut Enterprise Corporation, S.A.",Responsab Lojistik / Logistics Manager,Transport et Logistique,21 Fév 18
"Acceso Peanut Enterprise Corporation, S.A.",Kontab Teren / Field Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",21 Fév 18
World Vision Haiti,Internal Auditor,"Management/Gestion, Finance, Comptabilité et Commerce",20 Fév 18
Plan International-Haiti,Facilitateur de Développement Communautaire,Sciences Humaines et Sociales,20 Fév 18
Concern Worldwide Haiti,Agent de Terrain -  Gestion des déchets/GRD,Environnement et Sciences de la Terre,20 Fév 18
UNOPS,Project Support Associate,"Management/Gestion, Finance, Comptabilité et Commerce",19 Fév 18
PRODEV,Superviseur Pédagogique,Sciences de l’Education,19 Fév 18
ASB,Evaluation Coordinator,Sciences Humaines et Sociales,19 Fév 18
PNUD Haiti,"Opérations Manager, PNUD","Management/Gestion, Finance, Comptabilité et Commerce",18 Fév 18
"The Vitamin Angels Alliance, Inc. (VA)",M&E Coordinator,Santé et Professions médicales,17 Fév 18
Chemonics International / Projet de reboisement USAID,Spécialiste en foresterie et développement rural,Agriculture – Agroalimentaire,16 Fév 18
Chemonics International / Projet de reboisement USAID,Coordinateur des Achats,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
Chemonics International / Projet de reboisement USAID,Responsable des Ressources Humains,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
CBM,Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
Concern Worldwide Haiti,Senior Finance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
CFET S.A.,Un(e) Directeur des Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
CFET S.A.,Un(e) Coordonnateur(rice) - Renforcement de Capacités,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 18
PNUD Haiti,Analyste Financier (ère) / Électrification Rurale et Autonomisation des femmes,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 18
PNUD Haiti,Chef de projet / Projet pilote sites et services,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 18
PNUD Haiti,Chef de projet / projet de Logement de Lahaie,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 18
PNUD Haiti,Analyste en ingénierie civile / projet Logement de Lahaie,Métiers du bâtiment et autres,15 Fév 18
PNUD Haiti,Opérateur du système GINA / PNUD,Sécurité,15 Fév 18
CDS,Travailleur Social,Sciences Humaines et Sociales,14 Fév 18
PNUD Haiti,Analyste en Communication / PNUD,Communication et Journalisme,14 Fév 18
CDS,Medecin chef de service,Santé et Professions médicales,14 Fév 18
Secteur ong,Officier Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",14 Fév 18
FHI/Humanité & Inclusion_ HI,Logisticien Chauffeur,Transport et Logistique,14 Fév 18
GHSC-TA,Spécialiste en Gestion du Matériel Médical,Santé et Professions médicales,14 Fév 18
GHSC-TA,Medical Equipment Capacity Building Coordinator,Santé et Professions médicales,14 Fév 18
CDS,Medecin en Soins,Santé et Professions médicales,13 Fév 18
CDS,Technologie Medical,Santé et Professions médicales,13 Fév 18
OHMaSS (PSI-Haïti),Coordonnateur(trice) Projet Maverick,Sciences Humaines et Sociales,12 Fév 18
Secteur international,Consultant National Principal,Agriculture – Agroalimentaire,12 Fév 18
CBM,Mobilisateur Communautaire – Associations Villageoises d’épargne et de Crédit,Sciences Humaines et Sociales,11 Fév 18
CBM,Officier en Développement Communautaire,Sciences Humaines et Sociales,11 Fév 18
InnovEd-UniQ,Directeur,Sciences de l’Education,11 Fév 18
ASB,ASB Haiti Coordinateur de la Communication,Communication et Journalisme,10 Fév 18
MCI/PAPEJ,Responsable de Suivi et Evaluation Senior,Sciences économiques et politiques,9 Fév 18
MCI/PAPEJ,Coordonnateur à la formation,"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
MCI/PAPEJ,Responsable de Développement Stratégique,"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
MCI/PAPEJ,Responsable financier,"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
MCI/PAPEJ,Coordonnateur départemental,Sciences économiques et politiques,9 Fév 18
MCI/PAPEJ,Assistante Administrative,Secrétariat,9 Fév 18
CRS,MEAL Officer,Sciences économiques et politiques,9 Fév 18
CRS,Chargé de projet (Project Officer),Agriculture – Agroalimentaire,9 Fév 18
CARE Haiti,Officier de Suivi et de Redevabilité (niveau départemental : Nord-Ouest),Sciences Humaines et Sociales,9 Fév 18
CARE Haiti,Officier de Protection et Promotion Sociale (niveau départemental : Nord-Ouest),Sciences Humaines et Sociales,9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Cabaret),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Hinche),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Mirebalais),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Croix-des-Bouquets),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Léogane),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit (Petit-Goave),"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 18
CARE Haiti,Gestionnaire Adjoint aux operations (Niveau departemental: Nord'Ouest),Sciences Humaines et Sociales,9 Fév 18
CDS,Infirmiere Site Manager PPC,Santé et Professions médicales,9 Fév 18
Compassion International Haiti,IT Support Specialist,Sciences Informatiques,9 Fév 18
Croix Rouge Canadienne,Coordinateur(trice) logistique,Transport et Logistique,8 Fév 18
InnovEd-UniQ,Gestionnaire en Contrôle de Programmes et Evaluation,Sciences de l’Education,8 Fév 18
GHSC-PSM,Inventory & Logistics Officer,"Management/Gestion, Finance, Comptabilité et Commerce",7 Fév 18
Habitat pour l'humanite Haiti,Chief Financial Controller,"Management/Gestion, Finance, Comptabilité et Commerce",7 Fév 18
CFET S.A.,Responsable Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce",7 Fév 18
Cooperative Electrique Arrondissement des Coteaux,Ingénieur électromécanique,Sciences de l’Ingénieur,7 Fév 18
Chemonics International / Projet de reboisement USAID,Grants Manager,"Management/Gestion, Finance, Comptabilité et Commerce",7 Fév 18
Chemonics International / Projet de reboisement USAID,Grants Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",7 Fév 18
PNUD Haiti,"Consultant, Expert en Recherche en Sciences Humaines et Sociales",Sciences Humaines et Sociales,7 Fév 18
Plan International-Haiti,Manager en Développement de Capacité Communautaire,Sciences Humaines et Sociales,6 Fév 18
Plan International-Haiti,Coordonnateur/Coordonnatrice Santé Materno-infantile,Santé et Professions médicales,6 Fév 18
CFET S.A.,Assistant(e) de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",6 Fév 18
Compassion International Haiti,Senior Manager of Accounting,"Management/Gestion, Finance, Comptabilité et Commerce",5 Fév 18
USAID|Haiti/AVANSE,Officier Logistique,"Management/Gestion, Finance, Comptabilité et Commerce",4 Fév 18
PNUD Haiti,Administrateur National Chargé des Affaires Humanitaires / OCHA,"Management/Gestion, Finance, Comptabilité et Commerce",2 Fév 18
Chemonics International / Projet de reboisement USAID,Coordinateur de Genre et d’Inclusion,Sciences Humaines et Sociales,2 Fév 18
Chemonics International / Projet de reboisement USAID,Réceptionniste,Secrétariat,2 Fév 18
Chemonics International / Projet de reboisement USAID,Spécialiste en Gestion de Bassins Versants,Agriculture – Agroalimentaire,2 Fév 18
J/P HRO,Enseignant (e),Sciences de l’Education,2 Fév 18
CARE Haiti,Assistante Administrative / PNCS,Secrétariat,2 Fév 18
University of Florida,Consultant (e) / Traducteur (Traductrice),Communication et Journalisme,2 Fév 18
CRS,Officier de Gestion des Risques et des Désastres (GRD),Sciences Humaines et Sociales,2 Fév 18
Haiti Outreach,Direkte Swivi ak Evalyasyon,"Management/Gestion, Finance, Comptabilité et Commerce",2 Fév 18
Haiti Outreach,Teknisyen SIG/Statistikal,Sciences Informatiques,2 Fév 18
GIZ,Technicien/technicienne en Genie civil,Sciences de l’Ingénieur,2 Fév 18
Compassion International Haiti,Water Sanitation Hygiene (WASH) Special,Sciences de l’Ingénieur,2 Fév 18
Chemonics/JSPP,Spécialiste en question d’accès à la justice,Droit,2 Fév 18
Chemonics/JSPP,Conseiller (ère) en Détention Préventive,Droit,2 Fév 18
OHMaSS (PSI-Haïti),"Coordonnateur d’Entrepôt, Responsable de la Gestion des Stocks","Management/Gestion, Finance, Comptabilité et Commerce",2 Fév 18
MARNDR/RESEPAG,Spécialiste junior en Passation des Marchés,"Management/Gestion, Finance, Comptabilité et Commerce",2 Fév 18
MARNDR/RESEPAG,Spécialiste en Sauvegarde Socio-environnementale,Environnement et Sciences de la Terre,2 Fév 18
Haiti Outreach,Teknisyen Enfomatik,Sciences Informatiques,1 Fév 18
GIZ,Technicien/technicienne agricole,Agriculture – Agroalimentaire,1 Fév 18
OHMaSS (PSI-Haïti),Digital Engagement Specialist,Marketing,1 Fév 18
Secteur prive,Responsable des Recouvrements,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-18
CRS,Un/Une Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-18
CRS,Un/e Responsable des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-18
Hope for Haiti,Assistant de Programme Économie,Sciences économiques et politiques,31-Jan-18
BONFED,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-18
CBM,Health Program Coordinator,Santé et Professions médicales,31-Jan-18
UNOPS,Mécaniciens (nes),Mécanique,31-Jan-18
Mercy Corps Haiti,"Officier de Communication, Programme ?Ann Viv Ansanm",Sciences Humaines et Sociales,30-Jan-18
CRS,Education MEAL OFFICER,Sciences économiques et politiques,29-Jan-18
IFES,Assistant de Bureau,Secrétariat,28-Jan-18
Save the Children en Haiti,Operations Manager,"Management/Gestion, Finance, Comptabilité et Commerce",27-Jan-18
Save the Children en Haiti,Partnership Coordinator,Sciences Humaines et Sociales,27-Jan-18
Save the Children en Haiti,Program Manager,Sciences Humaines et Sociales,27-Jan-18
Save the Children en Haiti,Enquêteurs/trices,Sciences Humaines et Sociales,26-Jan-18
Mercy Corps Haiti,CBO Governance Officer - Officier(e) en gouvernance des OCB-  Programme Ann Viv Ansanm,Sciences Humaines et Sociales,26-Jan-18
CRS,"Gestionnaire de programme, prévention du VIH pour les adolescentes et jeunes filles",Santé et Professions médicales,26-Jan-18
Secteur ong,Program Finance Officer (PFO),"Management/Gestion, Finance, Comptabilité et Commerce",25-Jan-18
Chemonics/JSPP,Conseiller(e) en question de société civile,Sciences Humaines et Sociales,23-Jan-18
Chemonics/JSPP,Assistant (e) de Programme,Secrétariat,23-Jan-18
Wits Health Consortium,Monitoring and Evaluation Officer (Ref: 1100),Sciences économiques et politiques,23-Jan-18
Wits Health Consortium,Technical Advisor (Ref: 1031),Santé et Professions médicales,23-Jan-18
CRS,Responsable de formation,Sciences Humaines et Sociales,23-Jan-18
OHMaSS (PSI-Haïti),Directeur PMU,Santé et Professions médicales,23-Jan-18
Compassion International Haiti,Media Content Specialist II - PhotoJournalist,Communication et Journalisme,22-Jan-18
Compassion International Haiti,Media Content Specialist II - PhotoJournalist,Communication et Journalisme,22-Jan-18
CARE Haiti,Data Analysis Officer,Sciences économiques et politiques,21-Jan-18
Inter Aide Haiti,Assistant(e) Logisticien(ne) - A pourvoir immediatement,Transport et Logistique,21-Jan-18
Comité National de Prévention de la Cécité,Gestionnaire de programme,"Management/Gestion, Finance, Comptabilité et Commerce",19-Jan-18
Caritas Suisse,Comptable (f/m),"Management/Gestion, Finance, Comptabilité et Commerce",19-Jan-18
NCBA CLUSA,Spécialiste des cultures de haute valeur,Agriculture – Agroalimentaire,19-Jan-18
GHSC-PSM,Responsable de Réceptions et Inventaires à l’Entrepôt de GHSC-PSM/ Haïti,"Management/Gestion, Finance, Comptabilité et Commerce",18-Jan-18
Plan International-Haiti,Facilitateur de Développement Communautaire,Sciences Humaines et Sociales,17-Jan-18
WOCCU,Monitoring & Evaluation (M&E) Manager,"Management/Gestion, Finance, Comptabilité et Commerce",17-Jan-18
GHSC-PSM,Gestionnaire de Système d’Information pour la Gestion Logistique,Sciences Informatiques,16-Jan-18
PNUD Haiti,Chef de projet / Projet « Support to education in Haiti »,"Management/Gestion, Finance, Comptabilité et Commerce",16-Jan-18
DAI/WASH,Information Technology Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",15-Jan-18
DAI/WASH,Human Resources Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",15-Jan-18
Action Contre la Faim - Haïti,"Officer Suivi, Evaluation, Redévabilité et Apprentissage (MEAL) - Jean-Rabel",Sciences économiques et politiques,15-Jan-18
Action Contre la Faim - Haïti,"Officer Suivi, Evaluation, Redévabilité et Apprentissage (MEAL) - Gonaives",Sciences économiques et politiques,15-Jan-18
Action Contre la Faim - Haïti,"Adjoint Responsable de Département Suivi, Evaluation, Redévabilité et Apprentissage (MEAL)",Sciences économiques et politiques,15-Jan-18
Conseil des Ecoles Bahaies en Haiti,Manager des Opérations,Sciences de l’Education,15-Jan-18
PNUD Haiti,Constitution d’un Répertoire (Roster) de Consultants individuels nationaux dans différents domaines,- - Non-defini - -,15-Jan-18
PROFAMIL,Secrétaire,Secrétariat,12-Jan-18
Mercy Corps Haiti,Agents de recherche communautaire,Sciences Humaines et Sociales,12-Jan-18
Habitat pour l'humanite Haiti,Accounting Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",12-Jan-18
J/P HRO,Junior GIS Technician,Environnement et Sciences de la Terre,11-Jan-18
MARNDR/RESEPAG,Assistant (e) Spécialiste en Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",10-Jan-18
MARNDR/RESEPAG,Assistant (e) Administratif (ve),"Management/Gestion, Finance, Comptabilité et Commerce",10-Jan-18
MARNDR/RESEPAG,Logisticien,"Management/Gestion, Finance, Comptabilité et Commerce",10-Jan-18
ASB,ASB Haiti formateur en Reduction des Risques et des Desatres,Environnement et Sciences de la Terre,10-Jan-18
MDM France,"Poste	Coordinateur logistique mission de MdM-F en Haïti",Transport et Logistique,10-Jan-18
MDM France,Référent(e) Technique,Santé et Professions médicales,10-Jan-18
Secteur ong,Chauffeur,Transport et Logistique,09-Jan-18
Save the Children en Haiti,Supply Chain Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",08-Jan-18
J/P HRO,Archiviste Medical,- - Non-defini - -,05-Jan-18
FONKOZE,IT Specialist,Sciences Informatiques,05-Jan-18
DAI/WASH,Office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
DAI/WASH,Project Field Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
DAI/WASH,Project Logistics Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
Mercy Corps Haiti,"Coordonnateur de programme, Programme Ann Viv Ansanm","Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
CMMB,Human Resource Manager,"Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
Secteur prive,Manager Contrôle de Matériels,Transport et Logistique,05-Jan-18
J/P HRO,Monitoring & Evaluation (M&E) Manager,"Management/Gestion, Finance, Comptabilité et Commerce",05-Jan-18
J/P HRO,Senior REA Team Leader,Environnement et Sciences de la Terre,04-Jan-18
J/P HRO,REA Team Member (Social Science),Environnement et Sciences de la Terre,04-Jan-18
J/P HRO,REA Team Member (Agronomist),Environnement et Sciences de la Terre,04-Jan-18
J/P HRO,REA Team Member (Hydrologyst/Water Specialiste or Rural Engineer),Environnement et Sciences de la Terre,04-Jan-18
J/P HRO,REA Planning intern (Agronomy or related field),Environnement et Sciences de la Terre,04-Jan-18
J/P HRO,Driver,Transport et Logistique,04-Jan-18
PNUD Haiti,Consultation nationale : Spécialiste senior en communication publique en GRD,Environnement et Sciences de la Terre,03-Jan-18
CRS,Officier de MUSO,Sciences Humaines et Sociales,03-Jan-18
CRS,Officier de liaison communautaire,Sciences Humaines et Sociales,03-Jan-18
ACOSME NORD,Conseiller ou conseillère en communication pour la promotion de la santé,Santé et Professions médicales,03-Jan-18
Sevis finansye Fonkoze,Internal Audit Director,"Management/Gestion, Finance, Comptabilité et Commerce",29-Dec-17
Chemonics/JSPP,Conseiller (e) en question de Société Civile,Sciences Humaines et Sociales,29-Dec-17
Chemonics/JSPP,Access to Justice Specialist,Droit,29-Dec-17
CRS,Agriculture Program Coordinator,Agriculture – Agroalimentaire,28-Dec-17
"DAI Global, LLC",Operations Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",27-Dec-17
"DAI Global, LLC",Finance and Administration Manager,"Management/Gestion, Finance, Comptabilité et Commerce",27-Dec-17
"DAI Global, LLC",Monitoring and Evaluation Specialist,Sciences économiques et politiques,27-Dec-17
MDE/MACAYA,Spécialiste en Passation des Marchés de l’UGP Macaya,"Management/Gestion, Finance, Comptabilité et Commerce",26-Dec-17
Oxfam Intermon - Anse Rouge,Technicien Agricole,Agriculture – Agroalimentaire,24-Dec-17
Croix Rouge Espagnole,Coordonnateur de Terrain,Sciences de l’Ingénieur,22-Dec-17
CRS,Officier de Projet- Senior,Sciences Humaines et Sociales,22-Dec-17
CRS,Officier de Projet,Sciences Humaines et Sociales,22-Dec-17
AIR,"Monitoring & Evaluation Assistant, Region",Sciences Humaines et Sociales,22-Dec-17
ISTEAH,Encadreur(e) rédactionnel(le) (maîtrise obligatoire),Sciences de l’Education,22-Dec-17
AIR,Communications Specialist,Communication et Journalisme,22-Dec-17
MARNDR/SECAL,Responsable Génie Rural (RGR),Agriculture – Agroalimentaire,22-Dec-17
Hope for Haiti,Healthcare Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Dec-17
University of Florida,Agronome- Amélioration des légumineuses,Agriculture – Agroalimentaire,21-Dec-17
University of Florida,Stagiaire en Mémoire de Recherche- Amélioration des légumineuses,Agriculture – Agroalimentaire,21-Dec-17
CIAT,Animal Production Coordinator - Haiti,Agriculture – Agroalimentaire,21-Dec-17
CIAT,Hydrology/watershed management specialist - Haiti,Environnement et Sciences de la Terre,21-Dec-17
BWH/ILO,Assistante Executive,Sciences Humaines et Sociales,20-Dec-17
ELE-Haiti,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-17
Secteur prive,Administrateur (trice),"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-17
CRS,Project Manager,Sciences Humaines et Sociales,19-Dec-17
CRS,Conseiller Technique en Renforcement des Familles,Sciences Humaines et Sociales,19-Dec-17
Fondation Agridev,Marketing and Admin Assistant,Agriculture – Agroalimentaire,18-Dec-17
CBM,Coordonnateur de l'Unité Accessibilité Universelle,"Architecture, Urbanisme et Aménagement du territoire",17-Dec-17
FHI/Humanité & Inclusion_ HI,Administrateur logisticien,"Management/Gestion, Finance, Comptabilité et Commerce",16-Dec-17
Medical Teams International,Haiti Country Manager,Santé et Professions médicales,16-Dec-17
Mercy Corps Haiti,Officier d’approvisionnement,"Management/Gestion, Finance, Comptabilité et Commerce",15-Dec-17
ASFC,Consultant.e pour la coordination d’une étude de faisabilité,Sciences Humaines et Sociales,15-Dec-17
World Vision Haiti,ICT Manager,Sciences Informatiques,15-Dec-17
World Vision Haiti,AP Coordinator,Sciences Humaines et Sociales,15-Dec-17
CARE Haiti,Officier (ère) de Suivi-Evaluation (M&E) / Gonaives,Sciences économiques et politiques,15-Dec-17
ISTEAH,Professeur-e en sciences et technologies (doctorat obligatoire),Sciences de l’Ingénieur,15-Dec-17
CARE Haiti,Officier (ère) des Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",14-Dec-17
Abt Associates,"Monitoring, Evaluation, and Learning (MEL) Advisor",Sciences économiques et politiques,14-Dec-17
Abt Associates,Finance and Administrative Manager,"Management/Gestion, Finance, Comptabilité et Commerce",14-Dec-17
Oxfam Intermon,Coordonnateur(trice) Plaidoyer Industries Extractives,Communication et Journalisme,13-Dec-17
BONFED,Chargée/Chargé de Programme –Infrastructures de Transport,Sciences de l’Ingénieur,12-Dec-17
ABT/Shops Plus Project USAID,Expert en Informatique (IT Manager),Sciences Informatiques,11-Dec-17
Abt Associates,Deputy Chief of Party,"Management/Gestion, Finance, Comptabilité et Commerce",10-Dec-17
Centre Hospitalo - Universitaire Saint-François de Sales,Directeur Médical,Santé et Professions médicales,09-Dec-17
Chemonics/JSPP,Procurement/office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-17
Chemonics/JSPP,Administrative Assistant,Secrétariat,08-Dec-17
Oxfam Intermon,Coordonnateur(trice) de Financements Suivi et Apprentissage,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-17
Medical Teams International,Safety and Security officer,Sécurité,08-Dec-17
Clinton Health Access Initiative,"Country Associate, Haiti",Santé et Professions médicales,08-Dec-17
CRS,Spécialiste MEAL,Sciences économiques et politiques,07-Dec-17
CRS,Conseiller Technique en Violences Basées sur le Genre (VBG),Sciences Humaines et Sociales,07-Dec-17
Secteur prive,Administrative Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",06-Dec-17
Save the Children en Haiti,South/Grand Anse Field Office Program and Operations Director,"Management/Gestion, Finance, Comptabilité et Commerce",06-Dec-17
CRS,Agriculture Program Coordinator,Agriculture – Agroalimentaire,06-Dec-17
University of Florida,Responsable Logistique de Distribution et de Contrôle,Agriculture – Agroalimentaire,05-Dec-17
Oxfam Intermon - Anse Rouge,Animateurs(trices ) en nutrition,Santé et Professions médicales,03-Dec-17
MSH,Project Director I,Santé et Professions médicales,01-Dec-17
FONKOZE,Agent de Saisie,Sciences économiques et politiques,30-Nov-17
CRS,Ingénieur Terrain RISE,Sciences de l’Ingénieur,30-Nov-17
FAO,Assistant (e) technique au projet,Agriculture – Agroalimentaire,30-Nov-17
Pwoje Espwa Sud,Responsable du Child Development,Sciences Humaines et Sociales,30-Nov-17
Pwoje Espwa Sud,Travailleur Social,Sciences Humaines et Sociales,30-Nov-17
CFET S.A.,Indirect Cost Calculation Consultant,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-17
ZL/PIH,Consultant étude hygiène menstruelle dans les écoles,Sciences Humaines et Sociales,30-Nov-17
ABT/Shops Plus Project USAID,Consultant-graphiste,Sciences Informatiques,30-Nov-17
ISTEAH,"Professeur-e, Titulaire de Chaire (doctorat obligatoire)",Agriculture – Agroalimentaire,30-Nov-17
J/P HRO,Consultant Senior pour aider à la préparation du projet  «  Territoires Productifs Résilients »,Environnement et Sciences de la Terre,28-Nov-17
GHSC-PSM,Communications Officer,Communication et Journalisme,28-Nov-17
Habitat pour l'humanite Haiti,IT Specialist,Sciences Informatiques,27-Nov-17
Caritas Suisse,Responsable Entreprenarial,Marketing,27-Nov-17
GHSC-PSM,Short-Term Technical Assistance,Santé et Professions médicales,26-Nov-17
Plan International-Haiti,Coordonnateur/Coordonnatrice de Projet WASH,Sciences Humaines et Sociales,26-Nov-17
Pure Water for the World,WASH project coordinator,Sciences de l’Ingénieur,25-Nov-17
MDE,Conseiller/ère Technique et Point focal du Ministère de l’Environnement,Environnement et Sciences de la Terre,24-Nov-17
MDE,Assistant (e) administratif et financier,Environnement et Sciences de la Terre,24-Nov-17
MDE,Technicien-Plongeur,Environnement et Sciences de la Terre,24-Nov-17
Chemonics International / Projet de reboisement USAID,Grants Manager,"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-17
Chemonics International / Projet de reboisement USAID,Grants Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-17
USAID|Haiti/AVANSE,On-Site Construction Observer,Sciences de l’Ingénieur,24-Nov-17
Concern Worldwide Haiti,Assistant Contrôleur  Financier,"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-17
Save the Children en Haiti,Child Rights Governance Coordinator,Sciences Humaines et Sociales,22-Nov-17
Save the Children en Haiti,Officier de Gestion des Risques et Désastres (GRD) et Résilience,Sciences Humaines et Sociales,22-Nov-17
OHMaSS (PSI-Haïti),Assistant IT,Sciences Informatiques,21-Nov-17
Secteur projet,Gestionnaire de Flotte,Transport et Logistique,21-Nov-17
CRS,"Gestionnaire de projet, protection de l’enfance et gestion des cas",Sciences Humaines et Sociales,20-Nov-17
CARE Haiti,officier (ère) en communication de Kore Lavi,Communication et Journalisme,19-Nov-17
USAID|Haiti/AVANSE,Assistant en modélisation des nappes souterraines,Agriculture – Agroalimentaire,19-Nov-17
GHSC-PSM,Pharmacien attaché au dépôt pharmaceutique de GHSC-PSM,Santé et Professions médicales,19-Nov-17
USAID|Haiti/AVANSE,"Senior Engineer, Quality, Safety and Environment",Sciences de l’Ingénieur,19-Nov-17
AIR,"Latin American and Caribbean (LAC) Reads Capacity Program – Reading Specialist, Haiti",Sciences Humaines et Sociales,17-Nov-17
AIR,"Latin American and Caribbean (LAC) Reads Capacity Program – Curriculum Specialist, Haiti",Sciences Humaines et Sociales,17-Nov-17
WeltHungerHilfe (Agro Action Allemande),Responsable de Gestion de Bureau et des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",17-Nov-17
Plan International-Haiti,Training Officer,Sciences Humaines et Sociales,16-Nov-17
Plan International-Haiti,Moniteur/trice Alerte Précoce,Sciences de l’Education,16-Nov-17
MCI,Consultant Individuel en Qualité d’Expert International Chargé d’apporter au MCI un Appui Technique,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-17
FHI/Humanité & Inclusion_ HI,Chef de projet - READAPTATION,Santé et Professions médicales,15-Nov-17
FONKOZE,Communications Officer,Communication et Journalisme,13-Nov-17
OHMaSS (PSI-Haïti),Warehouse Coordinator,Santé et Professions médicales,13-Nov-17
OHMaSS (PSI-Haïti),Officier à l'Approvisionnement et Contrats,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-17
MDE/MACAYA,Spécialiste en Passation des Marchés de l’UGP Macaya,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-17
RTI International,Monitoring and Evaluation (M&E) Manager/Coordinator,Sciences économiques et politiques,13-Nov-17
FINCA Haiti S.A.,Auditeur Senior,"Management/Gestion, Finance, Comptabilité et Commerce",10-Nov-17
Mercy Corps Haiti,Monitoring and Evaluation Officer,Sciences économiques et politiques,10-Nov-17
Chemonics/JSPP,Assistant Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",10-Nov-17
WeltHungerHilfe (Agro Action Allemande),Expert (e) en Suivi et Evaluation des projets,Agriculture – Agroalimentaire,10-Nov-17
Save the Children en Haiti,Assistant Livelihood,Sciences économiques et politiques,09-Nov-17
OHMaSS (PSI-Haïti),Lab Advisor Assistant,Santé et Professions médicales,08-Nov-17
Food for the Hungry,Officier Suivi et Evaluation - Poste # FY18-0002,Sciences Humaines et Sociales,08-Nov-17
GHSC-PSM,Operations Manager,"Management/Gestion, Finance, Comptabilité et Commerce",06-Nov-17
Everest Apparel (Haiti) S.A.,Factory Leader/Translator Assistant and Leader,"Management/Gestion, Finance, Comptabilité et Commerce",05-Nov-17
Chemonics International / Projet de reboisement USAID,"Coordonnateur en suivi, évaluation et apprentissage",Sciences économiques et politiques,03-Nov-17
University of Florida,Assistant(e) de laboratoire,Agriculture – Agroalimentaire,03-Nov-17
